# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 26 22:07:03 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
kepid,koi_disposition,koi_period,koi_duration,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_srad,koi_smass
12644822,CONFIRMED,12.611904345,5.14970,0.073758,7.40,0.1058,88.17,753.0,76.15,17.270000,5795.00,0.9190,0.9920
2440757,FALSE POSITIVE,1.433769925,1.88680,0.318591,46.58,0.0256,58.99,1920.0,3209.29,2.460000,6017.00,1.3390,1.0830
2445129,FALSE POSITIVE,10.318723010,3.83600,0.247006,28.59,0.0944,78.15,876.0,139.26,5.920000,5927.00,1.0600,1.0500
2713049,CONFIRMED,2.539183147,2.42820,0.017724,2.06,0.0355,88.28,1332.0,743.09,7.930000,5519.00,1.0620,0.9210
3114167,CONFIRMED,6.770300385,2.08440,0.037414,2.77,0.0640,86.84,812.0,102.87,15.210000,5653.00,0.6790,0.7670
3114661,FALSE POSITIVE,0.444291966,2.07920,0.396105,27.51,0.0101,39.97,1836.0,2706.26,1.641000,5255.00,0.6360,0.7090
3115833,CANDIDATE,10.181584004,3.50890,0.084708,7.73,0.0884,85.87,812.0,102.91,12.776000,5988.00,0.8360,0.8850
4139816,CONFIRMED,20.060363360,3.32030,0.036455,1.96,0.1150,89.21,361.0,4.00,40.400000,3950.00,0.4930,0.5020
4139816,CONFIRMED,46.184203900,4.75800,0.033974,1.83,0.2005,89.99,273.0,1.32,76.670000,3950.00,0.4930,0.5020
8395660,CONFIRMED,23.980085400,5.35100,0.011879,1.31,0.1602,85.45,649.0,41.94,11.980000,5854.00,1.0120,0.9510
4139816,CONFIRMED,7.825021680,2.18600,0.022312,1.20,0.0614,87.99,494.0,14.05,20.200000,3950.00,0.4930,0.5020
4275191,CONFIRMED,3.895936525,2.31110,0.086890,7.34,0.0460,87.56,1005.0,241.62,12.290000,5557.00,0.7740,0.8660
4476123,CONFIRMED,22.366464660,5.22800,0.028938,2.32,0.1449,89.26,536.0,19.45,31.000000,5395.00,0.7340,0.8210
3351888,CONFIRMED,1.625522174,2.38963,0.080543,9.73,0.0265,89.22,1579.0,1467.41,5.636400,5539.00,1.1060,0.9350
3453214,CANDIDATE,19.620346923,2.00380,0.137595,13.60,0.1389,89.66,643.0,40.39,77.900000,5710.00,0.9050,0.9280
3554600,FALSE POSITIVE,7.544039000,6.22200,0.194187,17.47,0.0731,58.94,838.0,116.46,2.280000,5657.00,0.8240,0.9190
3641726,CONFIRMED,9.029306890,3.14490,0.028718,2.57,0.0796,89.94,757.0,77.75,22.570000,5349.00,0.8200,0.8240
3734868,FALSE POSITIVE,10.328035714,7.79150,0.118805,13.28,0.0888,88.54,843.0,119.31,10.988000,5627.00,1.0240,0.8740
3832474,CONFIRMED,143.206304700,8.93020,0.094044,8.90,0.5336,89.83,308.0,2.14,125.800000,5485.00,0.8670,0.9860
8395660,CONFIRMED,6.164876000,3.26200,0.007192,0.79,0.0648,86.69,1021.0,256.35,11.190000,5854.00,1.0120,0.9510
3832474,CONFIRMED,60.324942160,6.61880,0.128744,12.19,0.2998,89.83,411.0,6.77,77.040000,5485.00,0.8670,0.9860
3832474,CONFIRMED,29.159861500,4.80300,0.020180,1.91,0.1847,89.38,524.0,17.85,44.200000,5485.00,0.8670,0.9860
3836375,FALSE POSITIVE,1.540397253,2.15410,0.257087,25.69,0.0264,51.56,1470.0,1105.68,1.971000,5663.00,0.9150,1.0340
3838486,FALSE POSITIVE,2.990254430,5.41400,0.021279,1.70,0.0367,89.81,918.0,168.45,4.349000,4667.00,0.7310,0.7370
3935914,CONFIRMED,1.594745374,1.96040,0.115879,11.30,0.0258,85.25,1539.0,1329.42,6.203000,5934.00,0.8930,0.9010
3940418,CONFIRMED,4.783002698,2.33500,0.028315,2.50,0.0535,89.99,886.0,145.48,16.102000,5170.00,0.8070,0.8910
4049131,CONFIRMED,20.505889210,4.05950,0.041039,3.41,0.1326,89.62,518.0,17.06,38.910000,4905.00,0.7610,0.7390
4139816,CONFIRMED,3.340218842,1.91040,0.037683,2.03,0.0348,87.85,656.0,43.73,12.400000,3950.00,0.4930,0.5020
5287983,FALSE POSITIVE,2.507089906,2.00670,0.295115,30.26,0.0365,67.79,1326.0,730.47,3.320000,5926.00,0.9390,1.0300
5358241,CONFIRMED,18.649327280,4.40560,0.027096,3.12,0.1390,89.86,701.0,57.13,33.120000,5775.00,1.0530,1.0260
10875245,CONFIRMED,4.901449760,4.16540,0.011136,1.70,0.0586,86.10,1262.0,598.74,7.780000,5847.00,1.4020,1.1130
5358241,CONFIRMED,9.751921010,4.79300,0.024042,2.76,0.0902,80.97,870.0,135.66,6.050000,5775.00,1.0530,1.0260
5358241,CONFIRMED,38.557654600,5.79400,0.034980,4.02,0.2255,87.91,550.0,21.71,24.900000,5775.00,1.0530,1.0260
5358624,CONFIRMED,3.525632539,2.59959,0.133720,11.58,0.0431,89.41,975.0,213.12,11.699000,5150.00,0.7930,0.8550
4544670,CANDIDATE,34.843986440,2.93150,0.080046,7.61,0.1971,88.92,511.0,16.10,49.310000,5509.00,0.8710,0.8400
4664847,CONFIRMED,7.748094239,3.59570,0.046615,5.52,0.0810,88.02,964.0,204.39,15.000000,5973.00,1.0850,1.1810
4725681,CONFIRMED,23.967936690,3.82700,0.031410,1.80,0.1322,89.47,329.0,2.77,45.200000,3747.00,0.5240,0.5360
4725681,CONFIRMED,8.295617380,1.34210,0.031780,1.82,0.0652,87.95,469.0,11.39,24.800000,3747.00,0.5240,0.5360
4913852,CONFIRMED,8.114374820,2.27360,0.037204,2.10,0.0649,88.61,460.0,10.55,23.580000,3692.00,0.5170,0.5530
4932348,FALSE POSITIVE,38.036729482,4.34617,0.270180,27.50,0.2252,89.63,500.0,14.81,78.037000,5575.00,0.9320,1.0510
4936180,CANDIDATE,4.640900310,35.51200,0.333559,30.09,0.0503,19.01,1155.0,421.08,1.354000,6463.00,0.8260,0.7860
11913073,FALSE POSITIVE,3.747838198,5.06420,0.151387,13.65,0.0460,53.12,1031.0,266.76,1.868000,5514.00,0.8260,0.9260
10875245,CONFIRMED,14.749148250,6.09950,0.018864,2.89,0.1221,89.47,874.0,137.91,18.560000,5847.00,1.4020,1.1130
5021899,CONFIRMED,21.812959960,4.37910,0.030952,3.38,0.1495,89.92,639.0,39.33,39.183000,5601.00,0.9990,0.9340
5077629,FALSE POSITIVE,7.919369370,3.31480,0.121984,10.34,0.0737,87.30,814.0,104.00,15.534000,5690.00,0.7760,0.8520
5115978,CANDIDATE,1.028436523,1.86060,0.673134,72.77,0.0197,57.30,1947.0,3400.48,2.891000,6228.00,0.9900,0.9590
5164255,CONFIRMED,15.375623690,3.31690,0.121030,11.01,0.1121,88.73,600.0,30.54,31.240000,4986.00,0.8330,0.7930
5252423,CONFIRMED,8.103632710,3.16100,0.026361,2.11,0.0712,89.87,687.0,52.82,20.090000,4861.00,0.7320,0.7330
5252423,CONFIRMED,4.715108430,2.50600,0.018268,1.46,0.0496,88.96,823.0,108.84,14.180000,4861.00,0.7320,0.7330
5272878,CONFIRMED,6.365839713,2.97210,0.026275,2.44,0.0659,87.92,914.0,165.33,14.460000,5776.00,0.8490,0.9390
5283542,FALSE POSITIVE,5.975817540,3.06500,0.035468,3.86,0.0660,81.71,1047.0,284.25,6.530000,6108.00,0.9970,1.0720
5649215,FALSE POSITIVE,2.446737317,4.72110,0.278526,26.25,0.0351,44.81,1261.0,597.19,1.749000,5764.00,0.8630,0.9590
5651104,CONFIRMED,3.040330460,1.84110,0.104023,8.99,0.0374,85.95,1021.0,257.29,10.410000,5035.00,0.7910,0.7540
5792202,CONFIRMED,15.335286750,3.89700,0.056000,5.00,0.1179,87.95,610.0,32.67,21.650000,5251.00,0.8170,0.9260
10875245,CONFIRMED,7.958253280,4.37700,0.006915,1.06,0.0809,85.95,1074.0,314.15,10.010000,5847.00,1.4020,1.1130
5792202,CONFIRMED,31.330461350,5.17600,0.072904,6.50,0.1898,88.62,481.0,12.61,33.190000,5251.00,0.8170,0.9260
5370302,FALSE POSITIVE,3.904342500,3.83100,0.125229,12.28,0.0484,84.06,1104.0,351.05,6.856000,5810.00,0.8980,0.9890
5372966,FALSE POSITIVE,9.286358079,3.49949,0.196390,17.61,0.0810,89.06,796.0,95.03,23.029000,5670.00,0.8210,0.8200
5376067,FALSE POSITIVE,3.951405455,2.18620,0.331342,31.44,0.0482,76.40,1133.0,388.71,5.420000,6046.00,0.8690,0.9530
5436502,CONFIRMED,23.653694150,8.21830,0.052190,7.89,0.1658,89.98,731.0,67.65,23.142000,5739.00,1.3840,1.0830
5436502,CONFIRMED,13.233522140,6.73720,0.020278,3.06,0.1126,89.95,888.0,146.67,15.320000,5739.00,1.3840,1.0830
5436502,CONFIRMED,6.155602850,4.98430,0.015336,2.32,0.0676,88.56,1146.0,406.94,9.340000,5739.00,1.3840,1.0830
5436502,CONFIRMED,2.090811305,3.38800,0.010686,1.62,0.0329,77.03,1642.0,1718.04,3.320000,5739.00,1.3840,1.0830
10875245,CONFIRMED,3.180027898,3.57970,0.009989,1.53,0.0439,88.34,1458.0,1066.86,6.751000,5847.00,1.4020,1.1130
5436502,CONFIRMED,50.446741700,7.15900,0.017670,2.67,0.2747,89.57,568.0,24.64,50.900000,5739.00,1.3840,1.0830
5456651,CONFIRMED,11.763071640,2.90760,0.028519,2.35,0.0954,89.91,616.0,33.99,31.760000,4959.00,0.7560,0.8490
5456651,CONFIRMED,56.227927100,3.57000,0.028683,2.37,0.2707,89.56,366.0,4.22,90.700000,4959.00,0.7560,0.8490
5481416,FALSE POSITIVE,2.384052875,3.09180,0.222925,17.06,0.0308,58.76,1010.0,244.87,2.270000,4794.00,0.7010,0.6830
5531576,CONFIRMED,7.953547000,2.63120,0.026448,2.25,0.0712,89.24,696.0,55.37,22.680000,4768.00,0.7790,0.7590
5531576,CONFIRMED,4.144516560,2.34210,0.017441,1.48,0.0461,89.99,864.0,132.08,13.767000,4768.00,0.7790,0.7590
5534814,FALSE POSITIVE,4.859386384,2.27570,0.355227,38.33,0.0571,81.27,1114.0,364.23,8.290000,6072.00,0.9880,1.0500
6291653,CONFIRMED,10.526294577,2.52110,0.095143,8.24,0.0880,88.69,713.0,61.16,28.260000,5386.00,0.7930,0.8200
6392727,CONFIRMED,4.583520948,2.70550,0.056287,5.39,0.0535,89.81,1038.0,274.98,13.672000,5815.00,0.8770,0.9730
6422070,CONFIRMED,3.761818430,3.51760,0.025656,2.66,0.0470,75.62,1121.0,372.62,3.730000,5653.00,0.9490,0.9740
6428700,CONFIRMED,8.203969580,2.96670,0.033372,3.01,0.0735,86.43,742.0,71.50,13.230000,5015.00,0.8260,0.7850
6428700,CONFIRMED,14.496451860,4.01600,0.033377,3.01,0.1074,84.34,613.0,33.48,9.850000,5015.00,0.8260,0.7850
5792202,CONFIRMED,6.546261490,2.75000,0.024555,2.19,0.0668,87.46,810.0,101.78,14.520000,5251.00,0.8170,0.9260
5794379,CONFIRMED,12.718098660,3.09570,0.030871,2.31,0.0934,89.17,562.0,23.60,29.500000,4702.00,0.6860,0.6700
5794379,CONFIRMED,36.065881630,4.32460,0.035281,2.64,0.1871,89.77,397.0,5.88,63.840000,4702.00,0.6860,0.6700
5881688,CONFIRMED,4.190425659,2.85890,0.050076,6.21,0.0535,87.52,1234.0,547.90,10.600000,6073.00,1.1350,1.1630
6022556,CONFIRMED,3.709870784,3.06940,0.040686,4.35,0.0471,89.86,1151.0,415.10,9.625500,5727.00,0.9780,1.0130
6032497,CONFIRMED,16.329752700,6.27100,0.034822,3.75,0.1255,86.59,727.0,66.08,13.310000,5878.00,0.9870,0.9890
6061119,CONFIRMED,27.807566216,4.21587,0.161479,13.84,0.1711,88.96,554.0,22.24,43.260000,5862.00,0.7850,0.8650
6191521,CONFIRMED,80.872346900,11.19500,0.056129,7.59,0.3577,89.40,452.0,9.88,50.500000,5510.00,1.2380,0.9320
6267425,FALSE POSITIVE,3.166465862,2.93810,0.348902,26.82,0.0371,71.80,954.0,196.31,4.050000,4968.00,0.7040,0.6800
3531558,CONFIRMED,24.993243190,5.94090,0.015956,2.29,0.1651,88.37,712.0,60.88,24.100000,5718.00,1.3170,0.9610
6276477,CONFIRMED,10.355331160,3.17750,0.024674,2.47,0.0895,89.93,777.0,86.22,25.510000,5501.00,0.9180,0.8910
6863998,CONFIRMED,16.085189370,3.98400,0.040767,3.68,0.1173,87.21,613.0,33.43,17.790000,5239.00,0.8260,0.8300
6867155,CANDIDATE,235.998639900,8.22840,0.147560,10.59,0.6534,89.76,188.0,0.29,184.830000,4245.00,0.6570,0.6660
6948054,CONFIRMED,7.490183050,2.72970,0.029843,2.56,0.0703,89.95,753.0,76.06,21.590000,5103.00,0.7870,0.8230
6948054,CONFIRMED,36.276123800,4.78650,0.035273,3.03,0.2012,89.97,445.0,9.29,59.910000,5103.00,0.7870,0.8230
6948054,CONFIRMED,17.460879310,2.26410,0.026969,2.32,0.1236,89.31,568.0,24.60,49.300000,5103.00,0.7870,0.8230
6435936,CONFIRMED,56.056075400,4.68500,0.036134,1.94,0.2280,89.99,233.0,0.69,94.700000,3593.00,0.4910,0.5030
6522242,CONFIRMED,41.408316686,5.02640,0.139516,11.38,0.2162,89.68,453.0,9.93,67.690000,5522.00,0.7470,0.7860
6526710,CANDIDATE,39.748930770,7.30510,0.134949,14.21,0.2311,88.30,552.0,21.87,29.734000,6122.00,0.9640,1.0410
6587280,CONFIRMED,5.715425977,2.52420,0.027348,2.47,0.0611,88.81,850.0,123.03,16.740000,5237.00,0.8260,0.9270
9471974,CONFIRMED,49.183941850,11.33640,0.036501,8.20,0.2829,89.94,669.0,47.40,34.340000,5626.00,2.0570,1.2470
6587280,CONFIRMED,20.026141200,1.61100,0.025305,2.28,0.1409,88.43,559.0,23.14,34.900000,5237.00,0.8260,0.9270
6599919,CANDIDATE,13.610148190,2.59400,0.192842,19.02,0.1061,86.94,733.0,68.29,20.240000,5697.00,0.9030,0.8570
6675056,FALSE POSITIVE,10.443319910,2.74300,0.030416,2.66,0.0857,89.55,667.0,46.94,29.220000,4947.00,0.8020,0.7690
6685526,CONFIRMED,2.237489571,1.81190,0.015942,1.41,0.0325,89.23,1160.0,427.17,9.527000,5265.00,0.8100,0.9100
6756669,FALSE POSITIVE,5.851520671,3.11058,0.166109,14.62,0.0591,89.27,901.0,155.89,16.497000,5532.00,0.8060,0.8040
6784235,CONFIRMED,3.167893418,2.18140,0.025513,2.62,0.0426,89.87,1221.0,526.23,11.389000,5895.00,0.9400,1.0260
6849310,CONFIRMED,4.311780262,2.72510,0.030716,3.11,0.0511,89.08,1038.0,274.84,12.250000,5527.00,0.9270,0.9560
6849310,CONFIRMED,20.050449400,4.55600,0.026569,2.69,0.1423,89.31,622.0,35.44,32.000000,5527.00,0.9270,0.9560
6849310,CONFIRMED,9.767345030,1.65850,0.026407,2.67,0.0881,87.68,791.0,92.46,22.200000,5527.00,0.9270,0.9560
6862328,CANDIDATE,119.020704400,8.14050,0.077431,8.98,0.4582,89.96,366.0,4.25,120.050000,5453.00,1.0620,0.9040
